City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,La Ronge,CA,55.1001,-105.2842,26.85,80,100,19.57,overcast clouds
80,Mataura,NZ,-46.1927,168.8643,61.63,42,16,6.4,few clouds
81,Carutapera,BR,-1.195,-46.02,76.48,89,83,4.38,broken clouds
82,Seoul,KR,37.5683,126.9778,53.04,56,0,4.61,clear sky
83,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,85,75,23.02,broken clouds
84,Busselton,AU,-33.65,115.3333,68.18,45,1,7.78,clear sky
85,Kabinda,CD,-6.1333,24.4833,66.04,94,100,3.78,overcast clouds
86,Constitucion,CL,-35.3333,-72.4167,50.2,88,15,9.75,few clouds
87,Butaritari,KI,3.0707,172.7902,79.9,74,48,9.13,scattered clouds
88,Sepuka,TZ,-4.75,34.5333,64.98,63,99,6.64,overcast clouds
89,Namatanai,PG,-3.6667,152.4333,81.19,80,98,5.19,light rain
90,Hobart,AU,-42.8794,147.3294,75.06,45,75,11.5,broken clouds
91,Luanda,AO,-8.8368,13.2343,76.84,84,98,3.98,overcast clouds
92,Waingapu,ID,-9.6567,120.2641,86.68,62,100,7.45,overcast clouds
93,Kahului,US,20.8947,-156.47,81.97,70,82,13.0,broken clouds
94,Torbay,CA,47.6666,-52.7314,55.76,87,75,17.27,broken clouds
95,Dunedin,NZ,-45.8742,170.5036,57.79,59,28,5.99,scattered clouds
96,Abu Samrah,SY,35.3029,37.1841,60.82,41,0,4.09,clear sky
97,Garowe,SO,8.4054,48.4845,75.09,69,99,9.1,overcast clouds
98,Marzuq,YE,14.4,46.4667,63.3,70,0,0.29,clear sky
99,Lufilufi,WS,-13.8745,-171.5986,82.18,76,21,14.52,few clouds
100,Nouadhibou,MR,20.931,-17.0347,69.78,68,0,13.8,clear sky
101,Aswan,EG,24.0934,32.907,65.5,39,0,5.75,clear sky
102,Airai,TL,-8.9266,125.4092,76.24,46,100,2.44,overcast clouds
103,Chitipa,MW,-9.7024,33.2697,66.24,60,55,4.94,broken clouds
104,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,88,75,7.34,broken clouds
105,Havelock,US,34.8791,-76.9013,75.15,90,43,7.34,scattered clouds
106,Malkangiri,IN,18.35,81.9,67.53,76,4,2.08,clear sky
107,Bredasdorp,ZA,-34.5322,20.0403,58.86,96,1,4.7,clear sky
108,Vila,PT,42.0304,-8.1588,47.28,68,96,5.97,overcast clouds
109,Arraial Do Cabo,BR,-22.9661,-42.0278,67.95,72,6,6.67,clear sky
110,Leningradskiy,RU,69.3833,178.4167,15.96,90,100,20.4,overcast clouds
111,Maceio,BR,-9.6658,-35.7353,74.64,94,75,5.75,broken clouds
112,Hamilton,US,39.1834,-84.5333,69.94,73,100,7.0,overcast clouds
113,Disna,BY,55.568,28.1971,35.24,74,100,11.39,overcast clouds
114,Ptichye,RU,45.5168,41.7115,43.07,79,99,5.91,overcast clouds
115,Toora-Khem,RU,52.4675,96.11,21.06,81,33,1.97,scattered clouds
116,Sarandi,BR,-23.4436,-51.8739,65.75,52,0,9.22,clear sky
117,Sarh,TD,9.1429,18.3923,71.51,60,0,4.61,clear sky
118,Hasaki,JP,35.7333,140.8333,64.29,56,100,16.58,overcast clouds
119,Namibe,AO,-15.1961,12.1522,67.01,75,99,6.26,overcast clouds
120,Narok,KE,-1.0783,35.8601,55.65,91,86,4.23,overcast clouds
121,Narsaq,GL,60.9167,-46.05,33.57,89,100,5.3,overcast clouds
122,Cockburn Town,TC,21.4612,-71.1419,79.86,71,86,19.84,light rain
123,Bardiyah,LY,31.7561,25.0865,65.82,47,0,14.16,clear sky
124,Awbari,LY,26.5921,12.7805,62.19,26,0,6.73,clear sky
125,Saskylakh,RU,71.9167,114.0833,-23.06,100,99,2.13,overcast clouds
126,Itaporanga,BR,-7.3044,-38.1503,73.62,75,59,3.09,broken clouds
127,Mount Gambier,AU,-37.8333,140.7667,74.25,40,4,6.49,clear sky
128,Bengkulu,ID,-3.8004,102.2655,79.5,73,100,1.41,light rain
129,Keningau,MY,5.3378,116.1602,80.37,80,100,0.58,overcast clouds
130,Seryshevo,RU,51.0933,128.3786,24.55,60,3,4.0,clear sky
131,Yulara,AU,-25.2406,130.9889,89.62,11,81,12.88,broken clouds
132,Chumikan,RU,54.7183,135.315,19.2,69,10,24.76,clear sky
133,Christchurch,NZ,-43.5333,172.6333,62.42,58,40,16.11,scattered clouds
134,Cidreira,BR,-30.1811,-50.2056,63.48,75,0,12.91,clear sky
135,Pevek,RU,69.7008,170.3133,28.53,92,100,25.34,light snow
136,Dong Hoi,VN,17.4833,106.6,74.05,79,81,8.37,broken clouds
137,Biggar,GB,55.6167,-3.5167,46.54,95,43,7.56,scattered clouds
138,Tadine,NC,-21.55,167.8833,81.72,69,28,8.03,light rain
139,Kargat,RU,55.1956,80.2811,30.13,68,65,14.76,broken clouds
140,Olafsvik,IS,64.8945,-23.7142,39.79,65,60,9.04,broken clouds
141,Komsomolskiy,UZ,40.4272,71.7189,47.12,87,84,4.61,broken clouds
142,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,24.16,broken clouds
143,Fort Nelson,CA,58.8053,-122.7002,9.99,85,100,6.91,light snow
144,Merauke,ID,-8.4667,140.3333,87.82,61,99,4.94,overcast clouds
145,Miri,MY,4.4148,114.0089,84.34,74,20,2.3,few clouds
146,Shenjiamen,CN,29.9576,122.298,62.55,59,100,8.84,overcast clouds
147,Escanaba,US,45.7453,-87.0646,47.95,96,100,27.0,overcast clouds
148,Alpena,US,45.0617,-83.4327,59.25,75,100,7.0,overcast clouds
149,Mahebourg,MU,-20.4081,57.7,71.26,88,40,4.61,scattered clouds
150,Aquin,HT,18.2833,-73.4,75.78,82,14,3.69,light rain
151,Zelenoborskiy,RU,66.845,32.3622,31.82,90,82,8.5,broken clouds
152,San Patricio,US,28.017,-97.5169,72.84,76,0,7.0,clear sky
153,Yar-Sale,RU,66.8333,70.8333,16.11,88,100,3.58,overcast clouds
154,Kirensk,RU,57.7853,108.1119,23.95,89,100,6.06,overcast clouds
155,Coihaique,CL,-45.5752,-72.0662,59.61,72,75,3.44,broken clouds
156,Zarubino,RU,42.63,131.0922,41.95,40,5,7.47,clear sky
157,Alofi,NU,-19.0595,-169.9187,78.69,69,14,17.27,few clouds
158,Souillac,MU,-20.5167,57.5167,70.18,88,40,4.61,scattered clouds
159,Ruteng,ID,-8.6136,120.4721,75.87,61,82,1.16,broken clouds
160,Soto La Marina,MX,23.7667,-98.2167,72.77,54,0,2.39,clear sky
161,Jamestown,US,42.097,-79.2353,71.24,71,100,21.85,overcast clouds
162,Swan Hill,AU,-35.3378,143.5544,75.69,39,100,4.72,light rain
163,Lorengau,PG,-2.0226,147.2712,84.9,72,28,5.88,scattered clouds
164,Barrow,US,71.2906,-156.7887,4.28,98,76,8.99,broken clouds
165,Calafell,ES,41.2,1.5683,54.99,36,24,4.56,few clouds
166,Rancharia,BR,-22.2292,-50.8931,61.43,61,98,13.02,overcast clouds
167,Maldonado,UY,-34.6667,-54.9167,58.23,96,0,6.73,clear sky
168,Nanortalik,GL,60.1432,-45.2371,34.65,85,100,10.25,overcast clouds
169,Asau,RO,46.4333,26.4,51.28,97,100,3.76,overcast clouds
170,Luderitz,NA,-26.6481,15.1594,60.84,84,63,3.74,broken clouds
171,Saldanha,ZA,-33.0117,17.9442,60.71,91,0,9.33,clear sky
172,Yellowknife,CA,62.456,-114.3525,-1.44,77,6,5.99,clear sky
173,Maniitsoq,GL,65.4167,-52.9,26.49,69,99,9.64,overcast clouds
174,Shimoda,JP,34.6667,138.95,60.1,65,100,11.65,overcast clouds
175,Ugoofaaru,MV,5.6667,73.0,80.62,72,67,2.04,light rain
176,Charters Towers,AU,-20.1,146.2667,83.57,33,94,11.65,overcast clouds
177,Moussoro,TD,13.6408,16.4901,73.24,21,97,8.28,overcast clouds
178,Shitanjing,CN,39.2342,106.3439,41.36,38,0,5.12,clear sky
179,Songkhla,TH,6.8333,100.6667,75.25,86,100,2.53,light rain
