City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kutum,SD,2022-11-03 02:57:28,14.2,24.6667,59.02,28,8,7.72
68,Port Blair,IN,2022-11-03 02:57:29,11.6667,92.75,82.44,78,20,2.3
69,Tiksi,RU,2022-11-03 02:57:29,71.6872,128.8694,9.66,89,100,7.63
70,Atuona,PF,2022-11-03 02:57:29,-9.8,-139.0333,77.25,77,15,14.94
71,Ust-Nera,RU,2022-11-03 02:57:30,64.5667,143.2,-1.01,97,92,3.96
72,Castro,BR,2022-11-03 02:57:30,-24.7911,-50.0119,45.59,93,67,9.66
73,Ilovlya,RU,2022-11-03 02:57:30,49.3033,43.9796,31.17,85,33,11.86
74,Kodiak,US,2022-11-03 02:55:58,57.79,-152.4072,37.18,69,6,29.97
75,Takoradi,GH,2022-11-03 02:57:31,4.8845,-1.7554,77.7,88,50,6.78
76,San Policarpo,PH,2022-11-03 02:57:31,12.1791,125.5072,84.24,73,57,7.72
77,Weligama,LK,2022-11-03 02:57:31,5.9667,80.4167,80.58,80,77,10.47
78,Hualmay,PE,2022-11-03 02:57:31,-11.0964,-77.6139,62.78,84,99,6.62
79,Narsaq,GL,2022-11-03 02:57:32,60.9167,-46.05,20.52,67,100,7.05
80,Waingapu,ID,2022-11-03 02:57:32,-9.6567,120.2641,87.15,62,99,7.49
81,Ipil,PH,2022-11-03 02:57:32,7.75,122.5167,85.51,66,97,3.96
82,Asau,RO,2022-11-03 02:57:33,46.4333,26.4,45.52,91,78,3.94
83,Eureka,US,2022-11-03 02:55:51,40.8021,-124.1637,45.93,95,95,1.01
84,Bambous Virieux,MU,2022-11-03 02:57:33,-20.3428,57.7575,74.21,83,40,5.75
85,Komsomolskiy,UZ,2022-11-03 02:57:33,40.4272,71.7189,50.72,87,100,4.61
86,Laguna,US,2022-11-03 02:57:02,38.421,-121.4238,53.29,81,100,9.22
87,Nanortalik,GL,2022-11-03 02:57:34,60.1432,-45.2371,32.54,73,100,11.27
88,Saint-Philippe,RE,2022-11-03 02:57:34,-21.3585,55.7679,72.99,80,41,12.88
89,Salalah,OM,2022-11-03 02:57:34,17.0151,54.0924,76.78,76,71,1.59
90,Arraial Do Cabo,BR,2022-11-03 02:55:48,-22.9661,-42.0278,68.77,64,100,17.83
91,Olpad,IN,2022-11-03 02:57:34,21.3333,72.75,69.78,44,0,5.28
92,Carnarvon,AU,2022-11-03 02:57:35,-24.8667,113.6333,83.14,29,0,5.86
93,Ponta Do Sol,PT,2022-11-03 02:57:35,32.6667,-17.1,69.01,89,90,0.38
94,Cabo San Lucas,MX,2022-11-03 02:57:35,22.8909,-109.9124,77.5,70,0,10.98
95,Rongcheng,CN,2022-11-03 02:57:36,30.634,117.8517,68.86,60,0,6.17
96,Pilar,BR,2022-11-03 02:57:36,-9.5972,-35.9567,73.33,88,57,5.26
97,Sumenep,ID,2022-11-03 02:53:19,-7.0167,113.8667,86.92,64,96,7.85
98,Srednekolymsk,RU,2022-11-03 02:57:36,67.45,153.6833,-12.71,91,8,2.26
99,San Rafael,AR,2022-11-03 02:57:37,-34.6177,-68.3301,64.08,15,27,12.48
100,Mayumba,GA,2022-11-03 02:57:37,-3.432,10.6554,74.19,93,100,6.13
101,Beringovskiy,RU,2022-11-03 02:57:37,63.05,179.3167,12.11,88,84,7.61
102,Souillac,MU,2022-11-03 02:57:38,-20.5167,57.5167,71.98,83,40,5.75
103,Port Alfred,ZA,2022-11-03 02:54:14,-33.5906,26.891,67.5,82,100,5.3
104,Nova Olimpia,BR,2022-11-03 02:57:38,-14.7972,-57.2881,61.39,47,44,2.71
105,Luderitz,NA,2022-11-03 02:57:39,-26.6481,15.1594,55.4,92,48,4.59
106,Noumea,NC,2022-11-03 02:57:14,-22.2763,166.4572,91.38,70,16,9.44
107,Hamilton,US,2022-11-03 02:55:18,39.1834,-84.5333,58.75,91,67,2.06
108,Puerto Carreno,CO,2022-11-03 02:57:39,6.189,-67.4859,74.73,92,100,13.76
109,Koslan,RU,2022-11-03 02:57:39,63.4564,48.8989,31.32,74,100,5.77
